gene_id,ensembl,symbol,pvalue,padj,EBV,NOKS,reg,residuals
ENSG00000155903_RASA2,ENSG00000155903,RASA2,0.0775033453486814,0.4447004131275814,-0.21551721139127755,0.17365470854629517,Mixed,-0.3458465654530155
ENSG00000155906_RMND1,ENSG00000155906,RMND1,0.09231417693365368,0.46863267531702074,-0.3377829572007978,-0.9153481461339342,Downregulated,0.34919370830920343
ENSG00000155918_RAET1L,ENSG00000155918,RAET1L,0.28398212927129035,0.6962177060258443,1.750435140329759,2.1125599700133257,Upregulated,0.16494069210337833
ENSG00000155957_TMBIM4,ENSG00000155957,TMBIM4,0.5257993201921036,0.8421744059395468,0.586576253731574,0.6307864183461879,Upregulated,0.11316561521693076
ENSG00000155959_VBP1,ENSG00000155959,VBP1,0.6678186601531741,0.9053321866339231,-0.7376772492682038,-0.9715914653573638,Downregulated,-0.008489488383708032
ENSG00000155961_RAB39B,ENSG00000155961,RAB39B,0.9585447233804544,1,-0.048909600480946565,-0.10284840759175035,Downregulated,0.028279015018861247
ENSG00000155962_CLIC2,ENSG00000155962,CLIC2,0.6035027103207802,1,0.3155725998475388,0.6834752636419709,Upregulated,-0.19738147075220433
ENSG00000155966_AFF2,ENSG00000155966,AFF2,0.005099323184168331,1,0.4302852729777807,0.38179420724303126,Upregulated,0.14374543290640043
ENSG00000155970_EFHA2,ENSG00000155970,EFHA2,0.917152056558032,0.9784194559953602,-1.200629167042137,-1.0316591553280674,Downregulated,-0.42636008760660715
ENSG00000155974_GRIP1,ENSG00000155974,GRIP1,0.24191018392253455,0.6584962162705547,1.6849812805037616,1.690361702147748,Upregulated,0.41635026775535483
ENSG00000155975_VPS37A,ENSG00000155975,VPS37A,0.6885184833310746,0.9103376053420698,0.16598024530113162,0.10096321043281382,Upregulated,0.09020648650207211
ENSG00000155980_KIF5A,ENSG00000155980,KIF5A,0.7083210021102057,1,0.004046833062701712,0.05222995877255783,Upregulated,-0.035152200735359344
ENSG00000155984_TMEM185A,ENSG00000155984,TMEM185A,0.5555656619137074,0.855949960389814,0.9448546087556962,0.9625715934225307,Upregulated,0.22243633942617902
ENSG00000156006_NAT2,ENSG00000156006,NAT2,0.9711665333709406,1,-0.09856383448358953,-0.21317389130706918,Downregulated,0.06142500653001737
ENSG00000156011_PSD3,ENSG00000156011,PSD3,0.19626131091548926,0.6094328612302017,-0.49106177374439874,-0.3773857662890024,Downregulated,-0.20783050656901178
ENSG00000156017_C9orf41,ENSG00000156017,C9orf41,0.10778389231438525,0.4948401871690303,-0.21510261563072794,-1.0241156361216148,Downregulated,0.5535049876849812
ENSG00000156026_CCDC109A,ENSG00000156026,CCDC109A,0.22987446669214906,0.6445669840744123,0.24040794327648343,0.3868025837395099,Upregulated,-0.049890726481395295
ENSG00000156030_C14orf43,ENSG00000156030,C14orf43,0.5540430514465947,0.8553977597113912,0.4058908811352785,0.011570763375762134,Upregulated,0.3972069235887875
ENSG00000156042_TTC18,ENSG00000156042,TTC18,0.7669438727407875,0.9382176060877037,0.4731238603645684,0.11528487090396716,Upregulated,0.3866015720616323
ENSG00000156049_GNA14,ENSG00000156049,GNA14,0.1417016007836661,0.5453914141070293,1.860303802006563,2.3914690281404396,Upregulated,0.06548570403886933
ENSG00000156050_FAM161B,ENSG00000156050,FAM161B,0.5790856470639135,0.8675296363509671,-0.015844278064778717,-0.03174374577458741,Downregulated,0.00797967647659248
ENSG00000156052_GNAQ,ENSG00000156052,GNAQ,0.32357461424588735,0.7269662916349182,0.35923035142240306,0.4339919507577854,Upregulated,0.03351565538134102
ENSG00000156096_UGT2B4,ENSG00000156096,UGT2B4,0.9643196282679692,1,-0.08008791132269175,-0.061879447586678474,Downregulated,-0.03364685308027169
ENSG00000156097_GPR61,ENSG00000156097,GPR61,0.5880680326855863,1,-0.03360839264281967,-0.08942108070855623,Downregulated,0.03350289841176029
ENSG00000156103_MMP16,ENSG00000156103,MMP16,0.08097561885340561,0.4486333409457104,-0.734197390488205,-1.267756002637445,Downregulated,0.2172644058245686
ENSG00000156110_ADK,ENSG00000156110,ADK,0.19176336333722196,0.6065848686418827,-0.8594833015103089,-0.8041264301295201,Downregulated,-0.2559794915643074
ENSG00000156113_KCNMA1,ENSG00000156113,KCNMA1,0.15610939717707148,0.5621357855462713,0.34928855827935534,0.7905905611657971,Upregulated,-0.24405646545535234
ENSG00000156136_DCK,ENSG00000156136,DCK,0.4711662250960563,0.8204612713661847,-0.7603590438836099,-1.121589066387197,Downregulated,0.08140320816601765
ENSG00000156140_ADAMTS3,ENSG00000156140,ADAMTS3,0.5853060719205374,1,0.15395136523457165,0.12146351248566704,Upregulated,0.06279195322181538
ENSG00000156150_ALX3,ENSG00000156150,ALX3,0.9332988955172153,1,0.017448970756216927,-0.008730405104535977,Mixed,0.02400121496253015
